X,Y,OBJECTID,ROW_,LOCATION,ADDRESS_ID,STREETSEGID,XCOORD,YCOORD,TICKETTYPE,FINEAMT,TOTALPAID,PENALTY1,PENALTY2,ACCIDENTINDICATOR,AGENCYID,TICKETISSUEDATE,VIOLATIONCODE,VIOLATIONDESC,ROW_ID
-77.017248761299996,38.820666899199999,1285629,4504925,DC295 SW .3 miles s/o exit 1 n/b,808117,14688,398502.31,128098.0299,Photo,150,150,,,No,25,2016-01-11T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4504925
-77.013599603,38.928645747200001,1285650,4506535,100 blk Irving St NW w/b,303037,6350,398820.99,140084.44,Photo,150,150,,,No,25,2016-01-06T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4506535
-77.014240668200003,38.892046753400003,1285651,4506536,3rd St Tunnel NW s/b by 3rd St (wz),810651,5435,398764.77,136021.66,Photo,200,0,,,No,25,2016-01-06T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4506536
-77.033655296700005,38.892097302899998,1285652,4506537,Constitution Ave w/b @ 15th St NW,901839,759,397080.484795,136027.713276,Photo,150,0,150,,No,25,2016-01-06T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,4506537
-76.948370182900007,38.898947769899998,1285653,4506542,600 blk Kenilworth Ave NE s/b,813891,11963,404478.832866,136788.897372,Photo,150,150,,,No,25,2016-01-06T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4506542
-76.950346532699996,38.897195081900001,1285654,4506544,DC295 NE at Benning Rd Exit n/b,801296,5134,404307.5,136594.24,Photo,100,0,100,,No,25,2016-01-06T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4506544
-76.948370182900007,38.898947769899998,1285655,4506548,600 blk Kenilworth Ave NE s/b,813891,11963,404478.832866,136788.897372,Photo,100,200,100,,No,25,2016-01-02T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4506548
-76.963815277099997,38.871137057399999,1285656,4506549,3000 blk Pennsylvania Ave SE nw/b,42549,14551,403140.27,133701.05,Photo,100,100,,,No,25,2016-01-02T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4506549
-76.913388357299993,38.8897577145,1285657,4506559,E Capitol St w/b @ Southern Ave NE,903709,3664,407514.302757,135771.026811,Photo,150,150,,,No,25,2016-01-02T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4506559
-77.068648525399993,38.924898733600003,1285714,4510003,3500 blk Massachusetts Ave NW e/b,284693,5097,394047.44,139670.64,Photo,100,100,,,No,25,2016-01-31T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4510003
-77.017248761299996,38.820666899199999,1285715,4510006,DC295 SW .3 miles s/o exit 1 n/b,808117,14688,398502.31,128098.0299,Photo,150,150,,,No,25,2016-01-31T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4510006
-77.049979709699997,38.902533746700001,1285716,4510011,2200 blk K St NW w/b,805065,4361,395664.92,137186.89,Photo,100,100,,,No,25,2016-01-31T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4510011
-77.078571706899993,38.912697542700002,1285717,4510016,4300 blk Reservoir Rd NW e/b,812695,10916,393185.8,138316.9,Photo,150,150,,,No,25,2016-01-31T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4510016
-77.018353403,38.817415570400001,1285750,4512053,DC295 SW .7 miles s/o Exit 1 S/B,810381,6993,398406.31,127737.13,Photo,100,50,,,No,25,2016-01-10T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4512053
-76.982369647,38.9416450899,1285751,4512054,4200 blk S Dakota Ave NE nw/b,811511,9879,401528.63,141527.54,Photo,100,100,,,No,25,2016-01-10T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4512054
-77.033655296700005,38.892097302899998,1285752,4512055,Constitution Ave w/b @ 15th St NW,901839,759,397080.484795,136027.713276,Photo,150,150,,,No,25,2016-01-10T00:00:00.000Z,T113,FAIL TO STOP PER REGULATIONS FACING RED SIGNAL,4512055
-76.978082796899997,38.937546491600003,1285753,4512061,3900 blk South Dakota ave NE se/b,806707,5751,401900.38,141072.64,Photo,100,100,,,No,25,2016-01-10T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4512061
-77.009553772700002,38.9312316233,1285754,4512063,Unit blk Irving St NW e/b,803455,2931,399171.83,140371.45,Photo,100,100,,,No,25,2016-01-10T00:00:00.000Z,T119,SPEED 11-15 MPH OVER THE SPEED LIMIT,4512063
-76.948370182900007,38.898947769899998,1285755,4512064,600 blk Kenilworth Ave NE s/b,813891,11963,404478.832866,136788.897372,Photo,150,0,150,,No,25,2016-01-10T00:00:00.000Z,T120,SPEED 16-20 MPH OVER THE SPEED LIMIT,4512064